task,prompt,answer
gene_perturb_selection,"Your task is to identify genes that regulate the production of Interleukin-2 (IL-2). 
 From the list of potential genes, provide one most confident gene (matching one of the given genes). 
 Gene list: SLMAP,RPL23A,CA11,RFX6,GM2A,SCAP,MYH4,PTPRU,NOVA2,TRIM39-RPP21",RPL23A
gene_perturb_selection,"Your task is to identify genes that regulate the production of Interleukin-2 (IL-2). 
 From the list of potential genes, provide one most confident gene (matching one of the given genes). 
 Gene list: CENPM,STX18,CASQ1,TWIST2,DNAH14,RRP7A,EFHD2,FUT3,PEX14,CCDC3",RRP7A
gene_perturb_selection,"Your task is to identify genes that regulate the production of Interleukin-2 (IL-2). 
 From the list of potential genes, provide one most confident gene (matching one of the given genes). 
 Gene list: NDUFS7,C17orf62,FAU,DTX3L,SVIL,DUSP13,PDZD3,CLTB,NCBP2,C1orf64",FAU
gene_perturb_selection,"Your task is to identify genes that regulate the production of Interleukin-2 (IL-2). 
 From the list of potential genes, provide one most confident gene (matching one of the given genes). 
 Gene list: TMEM150B,TRIM56,ATF7IP,AVPR2,OR10K1,SREK1,PHLDA1,MMP8,TMEM98,MDH1",PHLDA1
gene_perturb_selection,"Your task is to identify genes that regulate the production of Interleukin-2 (IL-2). 
 From the list of potential genes, provide one most confident gene (matching one of the given genes). 
 Gene list: HSPD1,PIGR,IPO11,LCORL,PATL1,HLA-DQA2,LARGE2,SIX1,VEZT,HOXB9",LARGE2
gene_perturb_selection,"Your task is to identify genes that regulate the production of Interleukin-2 (IL-2). 
 From the list of potential genes, provide one most confident gene (matching one of the given genes). 
 Gene list: PRR5L,CD68,PRPF31,ZNHIT2,TSTD3,LDB1,CYB5B,LCE2A,PRTG,TEN1",PRPF31
gene_perturb_selection,"Your task is to identify genes that regulate the production of Interleukin-2 (IL-2). 
 From the list of potential genes, provide one most confident gene (matching one of the given genes). 
 Gene list: NIT2,CEP41,EPN3,NCR2,OST4,BRI3,PAN2,IRGQ,HENMT1,F3",BRI3
gene_perturb_selection,"Your task is to identify genes that regulate the production of Interleukin-2 (IL-2). 
 From the list of potential genes, provide one most confident gene (matching one of the given genes). 
 Gene list: C14orf159,TMEM87B,MIEN1,HHLA1,VKORC1,COL11A1,PDSS2,CACUL1,AQP10,AMY1A",MIEN1
gene_perturb_selection,"Your task is to identify genes that regulate the production of Interleukin-2 (IL-2). 
 From the list of potential genes, provide one most confident gene (matching one of the given genes). 
 Gene list: RPS3,MYCBPAP,CDO1,OR52N1,HSPA6,TNFSF11,RAPGEF3,GJA8,SERPINB8,COL15A1",RPS3
gene_perturb_selection,"Your task is to identify genes that regulate the production of Interleukin-2 (IL-2). 
 From the list of potential genes, provide one most confident gene (matching one of the given genes). 
 Gene list: PRKCG,PLA2G4D,GC,NUP85,ZNF415,NDRG1,MED15,DEFB103B,SCG2,DDX31",MED15
gene_perturb_selection,"Your task is to identify genes that regulate the production of Interleukin-2 (IL-2). 
 From the list of potential genes, provide one most confident gene (matching one of the given genes). 
 Gene list: CSRNP3,HERC6,CGB1,TCF21,C10orf142,OR8K5,ADAM30,CCNB1,MAP3K4,NLRP2B",MAP3K4
gene_perturb_selection,"Your task is to identify genes that regulate the production of Interleukin-2 (IL-2). 
 From the list of potential genes, provide one most confident gene (matching one of the given genes). 
 Gene list: GPR26,CCDC8,DCUN1D5,KCNH2,CELA1,CYP26C1,SERF2,PSMA6,PPFIA1,VCX2",PSMA6
gene_perturb_selection,"Your task is to identify genes that regulate the production of Interleukin-2 (IL-2). 
 From the list of potential genes, provide one most confident gene (matching one of the given genes). 
 Gene list: DDOST,GNLY,EIF5A,PAQR4,APC2,SLC35E1,ZNF202,CERS4,C5orf51,TENM2",EIF5A
gene_perturb_selection,"Your task is to identify genes that regulate the production of Interleukin-2 (IL-2). 
 From the list of potential genes, provide one most confident gene (matching one of the given genes). 
 Gene list: MAGEL2,TAS2R46,PIGG,LRP10,DUSP13,EPC1,PAPD7,NPY1R,TERB1,HP",TERB1
gene_perturb_selection,"Your task is to identify genes that regulate the production of Interleukin-2 (IL-2). 
 From the list of potential genes, provide one most confident gene (matching one of the given genes). 
 Gene list: S100A8,CCDC174,HMGCL,TXNL4B,SPATA17,BOLA3,ZSCAN2,TTC39A,RRAGD,COL3A1",CCDC174
