task,prompt,answer
gwas_causal_gene_opentargets,"Your task is to identify likely causal genes within a locus for a given GWAS phenotype. From the list, provide only the likely causal gene (matching one of the given genes). 
Identify the causal gene.
GWAS phenotype: Carotenoid and tocopherol levels (beta-carotene) (B-Carotene)
Genes in locus: {ATMIN},{BCO1},{C16orf46},{CDYL2},{CENPN},{CMC2},{CMIP},{ENSG00000260643},{ENSG00000284512},{ENSG00000286221},{GAN},{GCSH},{PKD1L2}
",BCO1
gwas_causal_gene_opentargets,"Your task is to identify likely causal genes within a locus for a given GWAS phenotype. From the list, provide only the likely causal gene (matching one of the given genes). 
Identify the causal gene.
GWAS phenotype: Bilirubin levels
Genes in locus: {ATG16L1},{DGKD},{HJURP},{MROH2A},{SAG},{SPP2},{TRPM8},{UGT1A1},{UGT1A10},{UGT1A3},{UGT1A4},{UGT1A5},{UGT1A6},{UGT1A7},{UGT1A8},{UGT1A9},{USP40}
",UGT1A8
gwas_causal_gene_opentargets,"Your task is to identify likely causal genes within a locus for a given GWAS phenotype. From the list, provide only the likely causal gene (matching one of the given genes). 
Identify the causal gene.
GWAS phenotype: Bilirubin levels
Genes in locus: {ARHGAP4},{ATP6AP1},{AVPR2},{CTAG1A},{CTAG1B},{CTAG2},{DKC1},{DNASE1L1},{EMD},{ENSG00000284987},{FAM3A},{FAM50A},{FLNA},{G6PD},{GAB3},{GDI1},{HCFC1},{IKBKG},{IRAK1},{L1CAM},{LAGE3},{MECP2},{MPP1},{NAA10},{OPN1LW},{OPN1MW},{OPN1MW2},{OPN1MW3},{PDZD4},{PLXNA3},{RENBP},{RPL10},{SLC10A3},{SMIM9},{TAFAZZIN},{TEX28},{TKTL1},{TMEM187},{UBL4A}
",G6PD
gwas_causal_gene_opentargets,"Your task is to identify likely causal genes within a locus for a given GWAS phenotype. From the list, provide only the likely causal gene (matching one of the given genes). 
Identify the causal gene.
GWAS phenotype: Sphingolipid levels (SM 14:0Mol%) (sphingomyelin 14∶0 molar percentage)
Genes in locus: {ESR2},{GPHB5},{PPP2R5E},{RHOJ},{SGPP1},{SYNE2},{WDR89}
",SGPP1
gwas_causal_gene_opentargets,"Your task is to identify likely causal genes within a locus for a given GWAS phenotype. From the list, provide only the likely causal gene (matching one of the given genes). 
Identify the causal gene.
GWAS phenotype: Fasting glucose-related traits (FPG) (D-Glucose)
Genes in locus: {ABCB11},{CERS6},{DHRS9},{G6PC2},{LRP2},{NOSTRIN},{SPC25}
",G6PC2
gwas_causal_gene_opentargets,"Your task is to identify likely causal genes within a locus for a given GWAS phenotype. From the list, provide only the likely causal gene (matching one of the given genes). 
Identify the causal gene.
GWAS phenotype: Vitamin D insufficiency (25-Hydroxyvitamin D2)
Genes in locus: {GC},{NPFFR2},{SLC4A4}
",GC
gwas_causal_gene_opentargets,"Your task is to identify likely causal genes within a locus for a given GWAS phenotype. From the list, provide only the likely causal gene (matching one of the given genes). 
Identify the causal gene.
GWAS phenotype: Vitamin D insufficiency (25-Hydroxyvitamin D2)
Genes in locus: {CALCA},{CALCB},{COPB1},{CYP2R1},{ENSG00000256206},{INSC},{PDE3B},{PSMA1}
",CYP2R1
gwas_causal_gene_opentargets,"Your task is to identify likely causal genes within a locus for a given GWAS phenotype. From the list, provide only the likely causal gene (matching one of the given genes). 
Identify the causal gene.
GWAS phenotype: Vitamin D insufficiency (25-Hydroxyvitamin D2)
Genes in locus: {DEFB108B},{DEFB131B},{DHCR7},{KRTAP5-10},{KRTAP5-11},{KRTAP5-7},{KRTAP5-8},{KRTAP5-9},{NADSYN1},{RNF121},{SHANK2},{XNDC1N},{XNDC1N-ZNF705EP-ALG1L9P}
",DHCR7
gwas_causal_gene_opentargets,"Your task is to identify likely causal genes within a locus for a given GWAS phenotype. From the list, provide only the likely causal gene (matching one of the given genes). 
Identify the causal gene.
GWAS phenotype: Phosphorus levels
Genes in locus: {ALPL},{CELA3B},{ECE1},{EIF4G3},{ENSG00000289715},{HSPG2},{LDLRAD2},{NBPF3},{RAP1GAP},{USP48}
",ALPL
gwas_causal_gene_opentargets,"Your task is to identify likely causal genes within a locus for a given GWAS phenotype. From the list, provide only the likely causal gene (matching one of the given genes). 
Identify the causal gene.
GWAS phenotype: Phosphorus levels
Genes in locus: {AKAP3},{C12orf4},{CCND2},{DYRK4},{ENSG00000255639},{ENSG00000272921},{ENSG00000285901},{FGF23},{FGF6},{GALNT8},{KCNA1},{KCNA6},{NDUFA9},{RAD51AP1},{TIGAR}
",FGF23
