task,prompt,answer
drug_repurposing,"Your task is to identify top 5 drugs that can be potentially repurposed to treat the given disease. From the list, prioritize the drug list with the highest potential (matching the given DrugBank IDs).
Disease: graft versus host disease
Drugs: DB00058, DB00553, DB12070, DB00039, DB00529, DB01263, DB06636, DB08877, DB06595, DB00738, DB13874, DB08901, DB00020, DB14568, DB09060, DB11581, DB00105, DB05332, DB00582, DB00877, DB00049, DB11166, DB11598, DB00099, DB01609, DB01087, DB01586, DB09325, DB00594, DB01032, DB00028, DB01610, DB01099, DB00307, DB01254, DB00495, DB00787, DB05084, DB01117, DB13743, DB00760, DB04868, DB00864, DB06210, DB00438, DB00026, DB01041, DB00601, DB00836, DB06809
Output format: a list of drugs with their DrugBank IDs, no drug name, just the IDs: 1. DB00001 2. DB00002 3. DB00003 ..","1. DB00058, 2. DB00553, 3. DB12070, 4. DB00039, 5. DB00529"
drug_repurposing,"Your task is to identify top 5 drugs that can be potentially repurposed to treat the given disease. From the list, prioritize the drug list with the highest potential (matching the given DrugBank IDs).
Disease: myeloid leukemia
Drugs: DB06636, DB00058, DB01263, DB11581, DB06616, DB12070, DB08901, DB09060, DB01254, DB04868, DB06210, DB00374, DB00026, DB01005, DB00582, DB01406, DB00619, DB08877, DB00437, DB06403, DB08910, DB09053, DB00438, DB00099, DB01223, DB00787, DB00513, DB00028, DB00594, DB00355, DB00650, DB00921, DB00760, DB00709, DB00434, DB00877, DB00398, DB00005, DB09325, DB01413, DB06713, DB01586, DB00470, DB00442, DB11059, DB00284, DB01117, DB00601, DB00455, DB00012
Output format: a list of drugs with their DrugBank IDs, no drug name, just the IDs: 1. DB00001 2. DB00002 3. DB00003 ..","1. DB06636, 2. DB00058, 3. DB01263, 4. DB11581, 5. DB06616"
drug_repurposing,"Your task is to identify top 5 drugs that can be potentially repurposed to treat the given disease. From the list, prioritize the drug list with the highest potential (matching the given DrugBank IDs).
Disease: alcohol withdrawal
Drugs: DB14478, DB11061, DB00252, DB11126, DB14048, DB00472, DB00186, DB11060, DB00841, DB00555, DB04920, DB00633, DB01202, DB01220, DB00368, DB00658, DB01068, DB00313, DB00334, DB00734, DB01065, DB00373, DB00653, DB01413, DB00654, DB01109, DB15404, DB00184, DB00030, DB11104, DB09413, DB00557, DB00502, DB00335, DB14502, DB14504, DB01086, DB01225, DB00381, DB01233, DB00213, DB09449, DB01115, DB01164, DB00959, DB14643, DB00556, DB04398, DB06768, DB09287
Output format: a list of drugs with their DrugBank IDs, no drug name, just the IDs: 1. DB00001 2. DB00002 3. DB00003 ..","1. DB14478, 2. DB11061, 3. DB00252, 4. DB11126, 5. DB14048"
drug_repurposing,"Your task is to identify top 5 drugs that can be potentially repurposed to treat the given disease. From the list, prioritize the drug list with the highest potential (matching the given DrugBank IDs).
Disease: leprosy
Drugs: DB09128, DB00080, DB08899, DB05812, DB06700, DB00393, DB00862, DB00807, DB01045, DB00434, DB11124, DB14509, DB00544, DB00809, DB00007, DB01017, DB06643, DB01127, DB00953, DB00422, DB00388, DB01238, DB00555, DB04920, DB00328, DB00484, DB01220, DB00285, DB00334, DB13924, DB14048, DB01211, DB00787, DB09370, DB11104, DB00654, DB00571, DB06724, DB00669, DB00980, DB00814, DB00476, DB00798, DB00584, DB00661, DB00556, DB11057, DB01202, DB00878, DB11126
Output format: a list of drugs with their DrugBank IDs, no drug name, just the IDs: 1. DB00001 2. DB00002 3. DB00003 ..","1. DB09128, 2. DB00080, 3. DB08899, 4. DB05812, 5. DB06700"
drug_repurposing,"Your task is to identify top 5 drugs that can be potentially repurposed to treat the given disease. From the list, prioritize the drug list with the highest potential (matching the given DrugBank IDs).
Disease: pneumocystosis
Drugs: DB01087, DB12147, DB09414, DB00681, DB04835, DB01099, DB06212, DB00291, DB01264, DB01285, DB00374, DB11767, DB11799, DB13259, DB01168, DB00135, DB01048, DB00149, DB00150, DB00160, DB00172, DB00133, DB03929, DB00117, DB00120, DB00123, DB00134, DB00156, DB00499, DB09053, DB00582, DB00161, DB01219, DB00709, DB00125, DB08930, DB00167, DB08875, DB12070, DB06800, DB08912, DB13148, DB11312, DB13149, DB11311, DB13150, DB13933, DB13884, DB00100, DB13152
Output format: a list of drugs with their DrugBank IDs, no drug name, just the IDs: 1. DB00001 2. DB00002 3. DB00003 ..","1. DB01087, 2. DB12147, 3. DB09414, 4. DB00681, 5. DB04835"
drug_repurposing,"Your task is to identify top 5 drugs that can be potentially repurposed to treat the given disease. From the list, prioritize the drug list with the highest potential (matching the given DrugBank IDs).
Disease: cytomegalovirus infection
Drugs: DB00529, DB00553, DB00058, DB00039, DB01610, DB11635, DB09060, DB00105, DB06636, DB08901, DB00020, DB06595, DB00205, DB00688, DB05332, DB00087, DB00352, DB11791, DB01024, DB01263, DB06603, DB00188, DB00877, DB06792, DB00026, DB11166, DB11598, DB00520, DB00746, DB00098, DB09312, DB08877, DB00864, DB01254, DB00028, DB14520, DB00099, DB00155, DB00760, DB11581, DB00080, DB00495, DB13150, DB13148, DB11312, DB11311, DB13149, DB01586, DB13884, DB13933
Output format: a list of drugs with their DrugBank IDs, no drug name, just the IDs: 1. DB00001 2. DB00002 3. DB00003 ..","1. DB00529, 2. DB00553, 3. DB00058, 4. DB00039, 5. DB01610"
drug_repurposing,"Your task is to identify top 5 drugs that can be potentially repurposed to treat the given disease. From the list, prioritize the drug list with the highest potential (matching the given DrugBank IDs).
Disease: filariasis
Drugs: DB04871, DB14515, DB00496, DB00358, DB00704, DB00481, DB01284, DB00209, DB00191, DB01241, DB03904, DB08893, DB00950, DB00012, DB00304, DB01591, DB06655, DB00912, DB01062, DB01238, DB09462, DB00243, DB09345, DB00136, DB00658, DB00734, DB01036, DB00603, DB01307, DB00016, DB13873, DB01039, DB00524, DB01165, DB00684, DB00787, DB00165, DB01188, DB12127, DB00415, DB01409, DB01394, DB01306, DB00957, DB00184, DB06724, DB14512, DB00230, DB00370, DB00768
Output format: a list of drugs with their DrugBank IDs, no drug name, just the IDs: 1. DB00001 2. DB00002 3. DB00003 ..","1. DB04871, 2. DB14515, 3. DB00496, 4. DB00358, 5. DB00704"
drug_repurposing,"Your task is to identify top 5 drugs that can be potentially repurposed to treat the given disease. From the list, prioritize the drug list with the highest potential (matching the given DrugBank IDs).
Disease: beriberi
Drugs: DB00958, DB06262, DB00789, DB01609, DB11228, DB08932, DB01114, DB09083, DB06699, DB08899, DB01095, DB00152, DB05812, DB00674, DB09302, DB01003, DB01142, DB00413, DB08860, DB09303, DB00687, DB06774, DB00442, DB06799, DB00434, DB00476, DB01432, DB14482, DB00402, DB01033, DB00660, DB01043, DB08893, DB01162, DB00422, DB00285, DB01409, DB01260, DB00012, DB01068, DB00007, DB01140, DB00019, DB00230, DB14548, DB09322, DB01294, DB06695, DB11093, DB00697
Output format: a list of drugs with their DrugBank IDs, no drug name, just the IDs: 1. DB00001 2. DB00002 3. DB00003 ..","1. DB00958, 2. DB06262, 3. DB00789, 4. DB01609, 5. DB11228"
drug_repurposing,"Your task is to identify top 5 drugs that can be potentially repurposed to treat the given disease. From the list, prioritize the drug list with the highest potential (matching the given DrugBank IDs).
Disease: idiopathic aplastic anemia
Drugs: DB00746, DB12147, DB06210, DB00058, DB11621, DB01609, DB12015, DB12070, DB11632, DB01357, DB00205, DB01263, DB06654, DB11757, DB00479, DB06636, DB01406, DB09291, DB08877, DB00582, DB00615, DB10343, DB00091, DB00028, DB00607, DB00513, DB00632, DB00438, DB00099, DB00012, DB00619, DB09083, DB00480, DB09331, DB11581, DB11239, DB09080, DB14156, DB01744, DB00531, DB00650, DB14515, DB01117, DB00947, DB00787, DB00877, DB01037, DB05812, DB00016, DB01024
Output format: a list of drugs with their DrugBank IDs, no drug name, just the IDs: 1. DB00001 2. DB00002 3. DB00003 ..","1. DB00746, 2. DB12147, 3. DB06210, 4. DB00058, 5. DB11621"
drug_repurposing,"Your task is to identify top 5 drugs that can be potentially repurposed to treat the given disease. From the list, prioritize the drug list with the highest potential (matching the given DrugBank IDs).
Disease: inherited aplastic anemia
Drugs: DB00746, DB12147, DB11621, DB06210, DB01609, DB00529, DB12015, DB12070, DB01357, DB00205, DB01263, DB00479, DB09291, DB08877, DB00615, DB10343, DB00091, DB11581, DB00028, DB00650, DB00607, DB00632, DB00507, DB00619, DB00099, DB00330, DB00513, DB00582, DB11239, DB09080, DB00012, DB00531, DB14515, DB01284, DB00947, DB00299, DB01117, DB05812, DB09113, DB01610, DB00480, DB01024, DB00611, DB00016, DB01586, DB01045, DB11311, DB13149, DB13148, DB13150
Output format: a list of drugs with their DrugBank IDs, no drug name, just the IDs: 1. DB00001 2. DB00002 3. DB00003 ..","1. DB00746, 2. DB12147, 3. DB11621, 4. DB06210, 5. DB01609"
