"row_number"	"description"	"symbol_gene_string"	"ensembl_gene_string"
1	"Lysosomal acid lipase deficiency"	"{ACTA2},{ANKRD22},{CH25H},{FAS},{IFIT1},{IFIT1B},{IFIT2},{IFIT3},{IFIT5},{KIF20B},{LIPA},{LIPK},{LIPM},{LIPN},{PANK1},{SLC16A12},{STAMBPL1}"	"{ENSG00000026103},{ENSG00000107796},{ENSG00000107798},{ENSG00000119917},{ENSG00000119922},{ENSG00000138134},{ENSG00000138135},{ENSG00000138182},{ENSG00000152766},{ENSG00000152778},{ENSG00000152779},{ENSG00000152782},{ENSG00000173239},{ENSG00000185745},{ENSG00000204010},{ENSG00000204020},{ENSG00000204021}"
2	"Recurrent respiratory papillomatosis"	"{C21orf62},{CRYZL1},{DNAJC28},{DONSON},{ENSG00000249209},{ENSG00000249624},{GART},{IFNAR1},{IFNAR2},{IFNGR2},{IL10RB},{ITSN1},{OLIG1},{OLIG2},{PAXBP1},{SON},{TMEM50B}"	"{ENSG00000142166},{ENSG00000142188},{ENSG00000159086},{ENSG00000159110},{ENSG00000159128},{ENSG00000159131},{ENSG00000159140},{ENSG00000159147},{ENSG00000177692},{ENSG00000184221},{ENSG00000205726},{ENSG00000205758},{ENSG00000205927},{ENSG00000205929},{ENSG00000243646},{ENSG00000249209},{ENSG00000249624}"
3	"Cholestasis, progressive familial intrahepatic 1"	"{BIVM},{BIVM-ERCC5},{CCDC168},{ERCC5},{METTL21C},{POGLUT2},{SLC10A2},{TEX30},{TPP2}"	"{ENSG00000125255},{ENSG00000134897},{ENSG00000134899},{ENSG00000134900},{ENSG00000134901},{ENSG00000139780},{ENSG00000151287},{ENSG00000175820},{ENSG00000270181}"
4	"Periodic fever, familial, autosomal dominant"	"{CHCHD5},{CKAP2L},{IL1A},{IL1B},{IL1F10},{IL1RN},{IL36A},{IL36B},{IL36G},{IL36RN},{IL37},{NT5DC4},{PAX8},{POLR1B},{PSD4},{RGPD8},{SLC20A1},{TTL},{ZC3H6},{ZC3H8}"	"{ENSG00000114999},{ENSG00000115008},{ENSG00000125538},{ENSG00000125571},{ENSG00000125611},{ENSG00000125618},{ENSG00000125630},{ENSG00000125637},{ENSG00000136688},{ENSG00000136689},{ENSG00000136694},{ENSG00000136695},{ENSG00000136696},{ENSG00000136697},{ENSG00000144130},{ENSG00000144136},{ENSG00000144161},{ENSG00000169607},{ENSG00000169629},{ENSG00000188177}"
5	"Aromatic amino acid decarboxylase deficiency"	"{COBL},{DDC},{FIGNL1},{GRB10},{IKZF1}"	"{ENSG00000106070},{ENSG00000106078},{ENSG00000132436},{ENSG00000132437},{ENSG00000185811}"
6	"Pyruvate Kinase Deficiency of Red Cells"	"{ADAM15},{ASH1L},{CKS1B},{CLK2},{DAP3},{DCST1},{DCST2},{DPM3},{EFNA1},{EFNA3},{EFNA4},{EFNA4-EFNA3},{ENSG00000273088},{ENTREP3},{FDPS},{FLAD1},{GBA1},{GON4L},{HCN3},{KCNN3},{KRTCAP2},{LENEP},{MSTO1},{MTX1},{MUC1},{PBXIP1},{PKLR},{PMVK},{PYGO2},{RUSC1},{SCAMP3},{SHC1},{SLC50A1},{THBS3},{TRIM46},{YY1AP1},{ZBTB7B}"	"{ENSG00000116521},{ENSG00000116539},{ENSG00000116580},{ENSG00000125459},{ENSG00000132676},{ENSG00000143537},{ENSG00000143590},{ENSG00000143603},{ENSG00000143627},{ENSG00000143630},{ENSG00000160685},{ENSG00000160688},{ENSG00000160691},{ENSG00000160752},{ENSG00000160753},{ENSG00000160767},{ENSG00000163344},{ENSG00000163346},{ENSG00000163348},{ENSG00000163352},{ENSG00000163354},{ENSG00000163357},{ENSG00000163374},{ENSG00000163462},{ENSG00000163463},{ENSG00000169231},{ENSG00000169241},{ENSG00000169242},{ENSG00000173171},{ENSG00000173207},{ENSG00000176444},{ENSG00000177628},{ENSG00000179085},{ENSG00000185499},{ENSG00000243364},{ENSG00000251246},{ENSG00000273088}"
7	"Congenital Lipomatous Overgrowth, Vascular Malformations, and Epidermal Nevi"	"{ACTL6A},{ENSG00000275163},{ENSG00000288698},{GNB4},{KCNMB2},{KCNMB3},{MFN1},{MRPL47},{NDUFB5},{PIK3CA},{USP13},{ZMAT3},{ZNF639}"	"{ENSG00000058056},{ENSG00000114450},{ENSG00000121864},{ENSG00000121879},{ENSG00000136518},{ENSG00000136521},{ENSG00000136522},{ENSG00000171109},{ENSG00000171121},{ENSG00000172667},{ENSG00000197584},{ENSG00000275163},{ENSG00000288698}"
8	"Congenital Plasminogen Deficiency"	"{IGF2R},{LPA},{MAS1},{PLG},{SLC22A1},{SLC22A2},{SLC22A3}"	"{ENSG00000112499},{ENSG00000122194},{ENSG00000130368},{ENSG00000146477},{ENSG00000175003},{ENSG00000197081},{ENSG00000198670}"
9	"Activated PI3K-delta Syndrome"	"{CENPS},{CENPS-CORT},{CLSTN1},{CORT},{CTNNBIP1},{DFFA},{KIF1B},{LZIC},{NMNAT1},{PGD},{PIK3CD},{RBP7},{SLC25A33},{TMEM201},{UBE4B}"	"{ENSG00000054523},{ENSG00000130939},{ENSG00000142657},{ENSG00000160049},{ENSG00000162441},{ENSG00000162444},{ENSG00000171603},{ENSG00000171608},{ENSG00000171612},{ENSG00000173614},{ENSG00000175279},{ENSG00000178585},{ENSG00000188807},{ENSG00000241563},{ENSG00000251503}"
10	"Abortion, Spontaneous"	"{ANGPTL5},{CEP126},{PGR},{TRPC6}"	"{ENSG00000082175},{ENSG00000110318},{ENSG00000137672},{ENSG00000187151}"
