"row_number"	"description"	"symbol_gene_string"	"ensembl_gene_string"
1	"Prostatitis"	"{ATMIN},{BCO1},{C16orf46},{CDYL2},{CENPN},{CMC2},{CMIP},{ENSG00000260643},{ENSG00000284512},{ENSG00000286221},{GAN},{GCSH},{PKD1L2}"	"{ENSG00000103121},{ENSG00000135697},{ENSG00000140905},{ENSG00000153815},{ENSG00000166446},{ENSG00000166451},{ENSG00000166454},{ENSG00000166455},{ENSG00000166473},{ENSG00000260643},{ENSG00000261609},{ENSG00000284512},{ENSG00000286221}"
2	"Nausea"	"{ATG16L1},{DGKD},{HJURP},{MROH2A},{SAG},{SPP2},{TRPM8},{UGT1A1},{UGT1A10},{UGT1A3},{UGT1A4},{UGT1A5},{UGT1A6},{UGT1A7},{UGT1A8},{UGT1A9},{USP40}"	"{ENSG00000072080},{ENSG00000077044},{ENSG00000085978},{ENSG00000085982},{ENSG00000123485},{ENSG00000130561},{ENSG00000144481},{ENSG00000167165},{ENSG00000185038},{ENSG00000241119},{ENSG00000241635},{ENSG00000242366},{ENSG00000242515},{ENSG00000244122},{ENSG00000244474},{ENSG00000288702},{ENSG00000288705}"
3	"Loss of Y"	"{ARHGAP4},{ATP6AP1},{AVPR2},{CTAG1A},{CTAG1B},{CTAG2},{DKC1},{DNASE1L1},{EMD},{ENSG00000284987},{FAM3A},{FAM50A},{FLNA},{G6PD},{GAB3},{GDI1},{HCFC1},{IKBKG},{IRAK1},{L1CAM},{LAGE3},{MECP2},{MPP1},{NAA10},{OPN1LW},{OPN1MW},{OPN1MW2},{OPN1MW3},{PDZD4},{PLXNA3},{RENBP},{RPL10},{SLC10A3},{SMIM9},{TAFAZZIN},{TEX28},{TKTL1},{TMEM187},{UBL4A}"	"{ENSG00000007350},{ENSG00000013563},{ENSG00000067840},{ENSG00000071553},{ENSG00000071859},{ENSG00000071889},{ENSG00000089820},{ENSG00000102030},{ENSG00000102032},{ENSG00000102076},{ENSG00000102119},{ENSG00000102125},{ENSG00000102178},{ENSG00000126890},{ENSG00000126895},{ENSG00000126903},{ENSG00000130826},{ENSG00000130827},{ENSG00000130830},{ENSG00000147403},{ENSG00000160211},{ENSG00000160219},{ENSG00000166160},{ENSG00000169057},{ENSG00000172534},{ENSG00000177854},{ENSG00000184033},{ENSG00000184216},{ENSG00000196924},{ENSG00000196976},{ENSG00000198910},{ENSG00000203870},{ENSG00000203879},{ENSG00000268221},{ENSG00000268651},{ENSG00000269335},{ENSG00000269433},{ENSG00000278057},{ENSG00000284987}"
4	"Eosinophilic Esophagitis"	"{ESR2},{GPHB5},{PPP2R5E},{RHOJ},{SGPP1},{SYNE2},{WDR89}"	"{ENSG00000054654},{ENSG00000126785},{ENSG00000126821},{ENSG00000140006},{ENSG00000140009},{ENSG00000154001},{ENSG00000179600}"
5	"Dwarfism, Pituitary"	"{ABCB11},{CERS6},{DHRS9},{G6PC2},{LRP2},{NOSTRIN},{SPC25}"	"{ENSG00000073734},{ENSG00000073737},{ENSG00000081479},{ENSG00000152253},{ENSG00000152254},{ENSG00000163072},{ENSG00000172292}"
6	"Metabolite levels (glycodeoxycholate 3-sulfate; glycodeoxycholate sulfate)"	"{GC},{NPFFR2},{SLC4A4}"	"{ENSG00000056291},{ENSG00000080493},{ENSG00000145321}"
7	"Dyslipidemias"	"{CALCA},{CALCB},{COPB1},{CYP2R1},{ENSG00000256206},{INSC},{PDE3B},{PSMA1}"	"{ENSG00000110680},{ENSG00000129083},{ENSG00000129084},{ENSG00000152270},{ENSG00000175868},{ENSG00000186104},{ENSG00000188487},{ENSG00000256206}"
8	"Glioblastoma"	"{DEFB108B},{DEFB131B},{DHCR7},{KRTAP5-10},{KRTAP5-11},{KRTAP5-7},{KRTAP5-8},{KRTAP5-9},{NADSYN1},{RNF121},{SHANK2},{XNDC1N},{XNDC1N-ZNF705EP-ALG1L9P}"	"{ENSG00000137522},{ENSG00000162105},{ENSG00000172890},{ENSG00000172893},{ENSG00000184276},{ENSG00000204571},{ENSG00000204572},{ENSG00000225805},{ENSG00000241233},{ENSG00000244411},{ENSG00000254469},{ENSG00000254997},{ENSG00000289716}"
9	"Friedreich Ataxia"	"{ALPL},{CELA3B},{ECE1},{EIF4G3},{ENSG00000289715},{HSPG2},{LDLRAD2},{NBPF3},{RAP1GAP},{USP48}"	"{ENSG00000075151},{ENSG00000076864},{ENSG00000090686},{ENSG00000117298},{ENSG00000142794},{ENSG00000142798},{ENSG00000162551},{ENSG00000187942},{ENSG00000219073},{ENSG00000289715}"
10	"Hepatitis, Viral, Human"	"{AKAP3},{C12orf4},{CCND2},{DYRK4},{ENSG00000255639},{ENSG00000272921},{ENSG00000285901},{FGF23},{FGF6},{GALNT8},{KCNA1},{KCNA6},{NDUFA9},{RAD51AP1},{TIGAR}"	"{ENSG00000010219},{ENSG00000047621},{ENSG00000078237},{ENSG00000111241},{ENSG00000111247},{ENSG00000111254},{ENSG00000111262},{ENSG00000118971},{ENSG00000118972},{ENSG00000130035},{ENSG00000139180},{ENSG00000151079},{ENSG00000255639},{ENSG00000272921},{ENSG00000285901}"
11	"Thrombasthenia"	"{ADAM15},{ASH1L},{CKS1B},{CLK2},{DAP3},{DCST1},{DCST2},{DPM3},{EFNA1},{EFNA3},{EFNA4},{EFNA4-EFNA3},{ENSG00000273088},{ENTREP3},{FDPS},{FLAD1},{GBA1},{HCN3},{KCNN3},{KRTCAP2},{LENEP},{MSTO1},{MTX1},{MUC1},{PBXIP1},{PKLR},{PMVK},{PYGO2},{RUSC1},{SCAMP3},{SHC1},{SLC50A1},{THBS3},{TRIM46},{YY1AP1},{ZBTB7B}"	"{ENSG00000116521},{ENSG00000116539},{ENSG00000125459},{ENSG00000132676},{ENSG00000143537},{ENSG00000143590},{ENSG00000143603},{ENSG00000143627},{ENSG00000143630},{ENSG00000160685},{ENSG00000160688},{ENSG00000160691},{ENSG00000160752},{ENSG00000160753},{ENSG00000160767},{ENSG00000163344},{ENSG00000163346},{ENSG00000163348},{ENSG00000163352},{ENSG00000163354},{ENSG00000163357},{ENSG00000163374},{ENSG00000163462},{ENSG00000163463},{ENSG00000169231},{ENSG00000169241},{ENSG00000169242},{ENSG00000173171},{ENSG00000173207},{ENSG00000176444},{ENSG00000177628},{ENSG00000179085},{ENSG00000185499},{ENSG00000243364},{ENSG00000251246},{ENSG00000273088}"
12	"Kidney Failure, Chronic"	"{C9orf40},{CARNMT1},{NMRK1},{OSTF1},{RORB},{TRPM6}"	"{ENSG00000106733},{ENSG00000119121},{ENSG00000134996},{ENSG00000135045},{ENSG00000156017},{ENSG00000198963}"
