"row_number"	"description"	"symbol_gene_string"	"ensembl_gene_string"
1	"worry too long (worry measurement)"	"{ENSG00000239395},{GCSAML},{NLRP3},{OR11L1},{OR13G1},{OR14A16},{OR14A2},{OR14K1},{OR14L1P},{OR1C1},{OR2AJ1},{OR2AK2},{OR2B11},{OR2C3},{OR2G2},{OR2G3},{OR2L2},{OR2L3},{OR2L5},{OR2L8},{OR2T8},{OR2W3},{OR6F1},{OR9H1P},{TRIM58},{VN1R5},{ZNF124},{ZNF496},{ZNF669},{ZNF670},{ZNF670-ZNF695}"	"{ENSG00000135747},{ENSG00000153230},{ENSG00000162711},{ENSG00000162714},{ENSG00000162722},{ENSG00000169214},{ENSG00000169224},{ENSG00000177275},{ENSG00000177462},{ENSG00000177476},{ENSG00000177489},{ENSG00000177535},{ENSG00000187080},{ENSG00000188295},{ENSG00000196242},{ENSG00000196418},{ENSG00000196772},{ENSG00000197437},{ENSG00000197454},{ENSG00000197591},{ENSG00000197617},{ENSG00000198128},{ENSG00000198452},{ENSG00000203663},{ENSG00000221888},{ENSG00000228336},{ENSG00000238243},{ENSG00000239395},{ENSG00000241128},{ENSG00000277462},{ENSG00000279263}"
2	"Pediatric autoimmune diseases (psoriasis)"	"{ENSG00000239395},{GCSAML},{NLRP3},{OR11L1},{OR13G1},{OR14A16},{OR14A2},{OR14K1},{OR14L1P},{OR1C1},{OR2AJ1},{OR2AK2},{OR2B11},{OR2C3},{OR2G2},{OR2G3},{OR2L2},{OR2L3},{OR2L5},{OR2L8},{OR2T8},{OR2W3},{OR6F1},{OR9H1P},{TRIM58},{VN1R5},{ZNF124},{ZNF496},{ZNF669},{ZNF670},{ZNF670-ZNF695}"	"{ENSG00000135747},{ENSG00000153230},{ENSG00000162711},{ENSG00000162714},{ENSG00000162722},{ENSG00000169214},{ENSG00000169224},{ENSG00000177275},{ENSG00000177462},{ENSG00000177476},{ENSG00000177489},{ENSG00000177535},{ENSG00000187080},{ENSG00000188295},{ENSG00000196242},{ENSG00000196418},{ENSG00000196772},{ENSG00000197437},{ENSG00000197454},{ENSG00000197591},{ENSG00000197617},{ENSG00000198128},{ENSG00000198452},{ENSG00000203663},{ENSG00000221888},{ENSG00000228336},{ENSG00000238243},{ENSG00000239395},{ENSG00000241128},{ENSG00000277462},{ENSG00000279263}"
3	"Infertility, Male"	"{ACADM},{ASB17},{MSH4},{RABGGTB},{SLC44A5},{ST6GALNAC3}"	"{ENSG00000057468},{ENSG00000117054},{ENSG00000137955},{ENSG00000137968},{ENSG00000154007},{ENSG00000184005}"
4	"Glaucoma"	"{CPT2},{CZIB},{DMRTB1},{ECHDC2},{GLIS1},{LRP8},{MAGOH},{PODN},{SCP2},{SLC1A7},{ZYG11A},{ZYG11B}"	"{ENSG00000116171},{ENSG00000121310},{ENSG00000143006},{ENSG00000157184},{ENSG00000157193},{ENSG00000162378},{ENSG00000162383},{ENSG00000162384},{ENSG00000162385},{ENSG00000174332},{ENSG00000174348},{ENSG00000203995}"
5	"Lead levels in blood"	"{GBP1},{GBP2},{GBP3},{GBP4},{GBP5},{GBP6},{GBP7},{GTF2B},{KYAT3},{PKN2},{RBMXL1}"	"{ENSG00000065243},{ENSG00000117226},{ENSG00000117228},{ENSG00000137944},{ENSG00000137947},{ENSG00000154451},{ENSG00000162645},{ENSG00000162654},{ENSG00000183347},{ENSG00000213512},{ENSG00000213516}"
6	"Mucopolysaccharidosis VII"	"{GBP1},{GBP2},{GBP3},{GBP4},{GBP5},{GBP6},{GBP7},{GTF2B},{KYAT3},{PKN2},{RBMXL1}"	"{ENSG00000065243},{ENSG00000117226},{ENSG00000117228},{ENSG00000137944},{ENSG00000137947},{ENSG00000154451},{ENSG00000162645},{ENSG00000162654},{ENSG00000183347},{ENSG00000213512},{ENSG00000213516}"
7	"Dermatitis, Seborrheic"	"{ACADM},{ASB17},{MSH4},{RABGGTB},{SLC44A5},{ST6GALNAC3}"	"{ENSG00000057468},{ENSG00000117054},{ENSG00000137955},{ENSG00000137968},{ENSG00000154007},{ENSG00000184005}"
8	"Neutrophil count"	"{AKIRIN1},{BMP8A},{ENSG00000274944},{GJA9},{MACF1},{MYCBP},{NDUFS5},{PABPC4},{RHBDL2},{RRAGC}"	"{ENSG00000090621},{ENSG00000116954},{ENSG00000127603},{ENSG00000131233},{ENSG00000158315},{ENSG00000168653},{ENSG00000174574},{ENSG00000183682},{ENSG00000214114},{ENSG00000274944}"
9	"Hematocrit"	"{AKIRIN1},{BMP8A},{BMP8B},{HEYL},{HPCAL4},{MACF1},{MFSD2A},{MYCL},{NDUFS5},{NT5C1A},{OXCT2},{PABPC4},{PPIE},{TRIT1}"	"{ENSG00000043514},{ENSG00000084072},{ENSG00000090621},{ENSG00000116981},{ENSG00000116983},{ENSG00000116985},{ENSG00000116990},{ENSG00000127603},{ENSG00000163909},{ENSG00000168389},{ENSG00000168653},{ENSG00000174574},{ENSG00000183682},{ENSG00000198754}"
10	"Dyspareunia"	"{BMP8A},{BMP8B},{HEYL},{HPCAL4},{MACF1},{MFSD2A},{MYCL},{NT5C1A},{OXCT2},{PABPC4},{PPIE},{TRIT1}"	"{ENSG00000043514},{ENSG00000084072},{ENSG00000090621},{ENSG00000116981},{ENSG00000116983},{ENSG00000116985},{ENSG00000116990},{ENSG00000127603},{ENSG00000163909},{ENSG00000168389},{ENSG00000183682},{ENSG00000198754}"
