"row_number"	"description"	"symbol_gene_string"	"ensembl_gene_string"
1	"pernicious anemia"	"{APOBEC4},{ARPC5},{COLGALT2},{LAMC1},{LAMC2},{NCF2},{NMNAT2},{RGL1},{SMG7}"	"{ENSG00000058085},{ENSG00000116698},{ENSG00000116701},{ENSG00000135862},{ENSG00000143344},{ENSG00000157064},{ENSG00000162704},{ENSG00000173627},{ENSG00000198756}"
2	"Pediatric autoimmune diseases (psoriasis)"	"{C1orf229},{GCSAML},{NLRP3},{OR11L1},{OR13G1},{OR14A16},{OR14A2},{OR14K1},{OR1C1},{OR2AJ1},{OR2B11},{OR2C3},{OR2G2},{OR2G3},{OR2L13},{OR2T8},{OR2W3},{OR6F1},{TRIM58},{ZNF124},{ZNF496},{ZNF669},{ZNF670},{ZNF695}"	"{ENSG00000135747},{ENSG00000153230},{ENSG00000162711},{ENSG00000162714},{ENSG00000162722},{ENSG00000169214},{ENSG00000169224},{ENSG00000177275},{ENSG00000177462},{ENSG00000177476},{ENSG00000177489},{ENSG00000177535},{ENSG00000188295},{ENSG00000196071},{ENSG00000196242},{ENSG00000196418},{ENSG00000196772},{ENSG00000197437},{ENSG00000197472},{ENSG00000197591},{ENSG00000221888},{ENSG00000221953},{ENSG00000238243},{ENSG00000241128}"
3	"Infertility, Female"	"{CHRNA9},{N4BP2},{PDS5A},{RBM47},{RHOH},{SMIM14},{UBE2K}"	"{ENSG00000078140},{ENSG00000078177},{ENSG00000121892},{ENSG00000163683},{ENSG00000163694},{ENSG00000168421},{ENSG00000174343}"
4	"Gaucher Disease"	"{APBB2},{CHRNA9},{N4BP2},{NSUN7},{RBM47},{RHOH}"	"{ENSG00000078177},{ENSG00000163694},{ENSG00000163697},{ENSG00000168421},{ENSG00000174343},{ENSG00000179299}"
5	"Lead levels in blood"	"{AFM},{AFP},{ALB},{ANKRD17},{COX18},{IL8},{RASSF6}"	"{ENSG00000079557},{ENSG00000081051},{ENSG00000132466},{ENSG00000163626},{ENSG00000163631},{ENSG00000169429},{ENSG00000169435}"
6	"Mucopolysaccharidosis II"	"{AFM},{AFP},{ALB},{ANKRD17},{COX18},{CXCL6},{IL8},{PF4V1},{RASSF6}"	"{ENSG00000079557},{ENSG00000081051},{ENSG00000109272},{ENSG00000124875},{ENSG00000132466},{ENSG00000163626},{ENSG00000163631},{ENSG00000169429},{ENSG00000169435}"
7	"Scleroderma, Systemic"	"{AFM},{AFP},{ALB},{ANKRD17},{COX18},{CXCL1},{CXCL5},{CXCL6},{IL8},{PF4},{PF4V1},{PPBP},{RASSF6}"	"{ENSG00000079557},{ENSG00000081051},{ENSG00000109272},{ENSG00000124875},{ENSG00000132466},{ENSG00000163626},{ENSG00000163631},{ENSG00000163735},{ENSG00000163736},{ENSG00000163737},{ENSG00000163739},{ENSG00000169429},{ENSG00000169435}"
8	"Metabolite levels (leucylphenylalanine)"	"{AFM},{AFP},{ALB},{CXCL1},{CXCL2},{CXCL3},{CXCL5},{CXCL6},{EPGN},{IL8},{MTHFD2L},{PF4},{PF4V1},{PPBP},{RASSF6}"	"{ENSG00000079557},{ENSG00000081041},{ENSG00000081051},{ENSG00000109272},{ENSG00000124875},{ENSG00000163631},{ENSG00000163734},{ENSG00000163735},{ENSG00000163736},{ENSG00000163737},{ENSG00000163738},{ENSG00000163739},{ENSG00000169429},{ENSG00000169435},{ENSG00000182585}"
9	"Central nucleus volume"	"{ANXA3},{BMP2K},{FRAS1},{PAQR3}"	"{ENSG00000138756},{ENSG00000138759},{ENSG00000138772},{ENSG00000163291}"
10	"Dysmenorrhea"	"{ANXA3},{BMP2K},{FRAS1},{PAQR3}"	"{ENSG00000138756},{ENSG00000138759},{ENSG00000138772},{ENSG00000163291}"
