Sample name,AA amplicon number,Classification,Tissue of origin,Oncogenes,All genes,Feature maximum copy number,Feature median copy number,Captured interval length,Complexity score,Location,Reference version
AU565_BREAST,5.0,BFB,breast,[''],"[""'EFCAB1'"", ""'PPDPFL'"", ""'SNAI2'""]",29.2612491089,6.7530001692,364878.0,1.0397259935,"[""'chr8:48700744-49057200'"", ""'chr8:49811883-49819185'"", ""'chr8:49821883-49823003'""]",GRCh38
BT20_BREAST,11.0,BFB,breast,"[""'ZMYM2'""]","[""'GJA3'"", ""'GJB2'"", ""'ZMYM2'""]",5.8771075004,5.5174749833,150907.0,1.2110960308,"[""'chr13:19992794-20081912'"", ""'chr13:20146314-20208103'""]",GRCh38
EFM19_BREAST,6.0,BFB,breast,[''],"[""'BRSK1'"", ""'CCDC106'"", ""'COX6B2'"", ""'DNAAF3'"", ""'EPN1'"", ""'FAM71E2'"", ""'FIZ1'"", ""'HSPBP1'"", ""'IL11'"", ""'ISOC2'"", ""'KMT5C'"", ""'NAT14'"", ""'PPP6R1'"", ""'PTPRH'"", ""'RPL28'"", ""'SBK2'"", ""'SBK3'"", ""'SHISA7'"", ""'SNORD157'"", ""'SSC5D'"", ""'SYT5'"", ""'TMEM150B'"", ""'TMEM190'"", ""'TMEM238'"", ""'TMEM86B'"", ""'TNNI3'"", ""'TNNT1'"", ""'U2AF2'"", ""'UBE2S'"", ""'ZNF524'"", ""'ZNF579'"", ""'ZNF580'"", ""'ZNF581'"", ""'ZNF628'"", ""'ZNF784'"", ""'ZNF865'""]",7.6493613713,7.6493613713,583509.0,1.3033562338,"[""'chr19:55123200-55706709'""]",GRCh38
HCC1500_BREAST,2.0,BFB,breast,"[""'BRF2'"", ""'ZNF703'""]","[""'ADGRA2'"", ""'ADRB3'"", ""'BRF2'"", ""'ERLIN2'"", ""'GOT1L1'"", ""'KCNU1'"", ""'PLPBP'"", ""'RAB11FIP1'"", ""'ZNF703'""]",36.8167348652,18.8014492381,1551884.0,1.4756600879,"[""'chr8:36466728-38018612'""]",GRCh38
HCC1500_BREAST,5.0,BFB,breast,"[""'CCND1'"", ""'CTTN'"", ""'FGF3'"", ""'FGF4'""]","[""'ANO1'"", ""'CCND1'"", ""'CTTN'"", ""'FADD'"", ""'FGF19'"", ""'FGF3'"", ""'FGF4'"", ""'LTO1'"", ""'MYEOV'"", ""'PPFIA1'"", ""'SHANK2'"", ""'SHANK2-AS1'"", ""'SHANK2-AS3'""]",10.330364413,6.4393184732,1654326.0,0.8651244472,"[""'chr11:69244437-70136449'"", ""'chr11:70138380-70900694'""]",GRCh38
HCC1599_BREAST,4.0,BFB,breast,"[""'CCNE1'"", ""'URI1'""]","[""'ANKRD27'"", ""'C19orf12'"", ""'CCNE1'"", ""'CEP89'"", ""'DPY19L3'"", ""'FAAP24'"", ""'NUDT19'"", ""'PDCD5'"", ""'PLEKHF1'"", ""'RGS9BP'"", ""'RHPN2'"", ""'SLC7A9'"", ""'SNORA68B'"", ""'TDRD12'"", ""'THEG5'"", ""'TSHZ3'"", ""'URI1'"", ""'ZNF507'"", ""'ZNF536'""]",11.8909419367,10.0154474249,3326313.0,1.0570423595,"[""'chr19:29671205-29897907'"", ""'chr19:29902193-30796598'"", ""'chr19:30798808-33004014'""]",GRCh38
HCC1937_BREAST,3.0,BFB,breast,[''],"[""'ARL15'"", ""'NDUFS4'""]",5.0469557821,4.9331080069,579058.0,1.0779019724,"[""'chr5:53632209-53829655'"", ""'chr5:53829763-54211375'""]",GRCh38
HCC1954_BREAST,7.0,BFB,breast,"[""'BIRC2'"", ""'BIRC3'"", ""'MMP12'"", ""'YAP1'""]","[""'BIRC2'"", ""'BIRC3'"", ""'CEP126'"", ""'CFAP300'"", ""'DCUN1D5'"", ""'DDI1'"", ""'DYNC2H1'"", ""'MMP1'"", ""'MMP10'"", ""'MMP12'"", ""'MMP13'"", ""'MMP20'"", ""'MMP27'"", ""'MMP3'"", ""'MMP7'"", ""'MMP8'"", ""'PDGFD'"", ""'TMEM123'"", ""'WTAPP1'"", ""'YAP1'""]",8.8812501994,5.2854625516,2183303.0,0.7322913526,"[""'chr11:101927519-102815104'"", ""'chr11:102815143-104110861'""]",GRCh38
HCC1954_BREAST,9.0,BFB,breast,"[""'CDK12'"", ""'ERBB2'"", ""'MIEN1'""]","[""'CDK12'"", ""'ERBB2'"", ""'GRB7'"", ""'GSDMA'"", ""'GSDMB'"", ""'IKZF3'"", ""'LRRC3C'"", ""'MIEN1'"", ""'NEUROD2'"", ""'ORMDL3'"", ""'PGAP3'"", ""'PNMT'"", ""'PPP1R1B'"", ""'PSMD3'"", ""'STARD3'"", ""'TCAP'"", ""'ZPBP2'""]",151.5515663809,151.5515663809,497993.0,1.5111812837,"[""'chr17:39483527-39981520'""]",GRCh38
HCC38_BREAST,10.0,BFB,breast,"[""'CTBP2'""]","[""'ABRAXAS2'"", ""'ADAM12'"", ""'BCCIP'"", ""'BNIP3'"", ""'C10orf90'"", ""'C10orf91'"", ""'CTBP2'"", ""'DHX32'"", ""'DOCK1'"", ""'DPYSL4'"", ""'EDRF1'"", ""'EDRF1-AS1'"", ""'EDRF1-DT'"", ""'EEF1AKMT2'"", ""'FAM53B'"", ""'FAM53B-AS1'"", ""'FANK1'"", ""'FANK1-AS1'"", ""'INPP5A'"", ""'JAKMIP3'"", ""'LRRC27'"", ""'MMP21'"", ""'PPP2R2D'"", ""'PWWP2B'"", ""'STK32C'"", ""'TEX36'"", ""'TEX36-AS1'"", ""'UROS'"", ""'ZRANB1'""]",8.5185770293,5.4337209555,3615961.0,1.2743631109,"[""'chr10:124580455-125508653'"", ""'chr10:125512532-126056618'"", ""'chr10:126057415-126996515'"", ""'chr10:131465889-132670466'""]",GRCh38
MDAMB157_BREAST,6.0,BFB,breast,[''],"[""'MIMT1'"", ""'PEG3'"", ""'PEG3-AS1'"", ""'SMIM17'"", ""'ZFP28'"", ""'ZIM2'"", ""'ZIM2-AS1'"", ""'ZNF470'"", ""'ZNF471'"", ""'ZNF582'"", ""'ZNF582-AS1'"", ""'ZNF583'"", ""'ZNF667'"", ""'ZNF667-AS1'"", ""'ZNF71'"", ""'ZNF71-SMIM17'"", ""'ZNF835'""]",10.0988677369,7.1492637419,667917.0,0.923353831,"[""'chr19:56381269-57049186'""]",GRCh38
MDAMB175VII_BREAST,1.0,BFB,breast,[''],"[""'PCDH7'""]",4.5288012526,4.5288012526,462155.0,0.9425361454,"[""'chr4:30631101-31093256'""]",GRCh38
MDAMB453_BREAST,2.0,BFB,breast,[''],"[""'TUSC1'""]",8.6056183679,8.6056183679,503877.0,1.0019339284,"[""'chr9:25361797-25865674'""]",GRCh38
