Sample name | AA amplicon number | Oncogenes | Feature max CN | Feature median CN | Captured interval length | Complexity score | Location | Reference
AU565_BREAST | 5.0 | [''] | 29.2612491089 | 6.7530001692 | 364878.0 | 1.0397259935 | ["'chr8:48700744-49057200'", "'chr8:49811883-49819185'", "'chr8:49821883-49823003'"] | GRCh38
BT20_BREAST | 11.0 | ["'ZMYM2'"] | 5.8771075004 | 5.5174749833 | 150907.0 | 1.2110960308 | ["'chr13:19992794-20081912'", "'chr13:20146314-20208103'"] | GRCh38
EFM19_BREAST | 6.0 | [''] | 7.6493613713 | 7.6493613713 | 583509.0 | 1.3033562338 | ["'chr19:55123200-55706709'"] | GRCh38
HCC1500_BREAST | 2.0 | ["'BRF2'", "'ZNF703'"] | 36.8167348652 | 18.8014492381 | 1551884.0 | 1.4756600879 | ["'chr8:36466728-38018612'"] | GRCh38
HCC1500_BREAST | 5.0 | ["'CCND1'", "'CTTN'", "'FGF3'", "'FGF4'"] | 10.330364413 | 6.4393184732 | 1654326.0 | 0.8651244472 | ["'chr11:69244437-70136449'", "'chr11:70138380-70900694'"] | GRCh38
HCC1599_BREAST | 4.0 | ["'CCNE1'", "'URI1'"] | 11.8909419367 | 10.0154474249 | 3326313.0 | 1.0570423595 | ["'chr19:29671205-29897907'", "'chr19:29902193-30796598'", "'chr19:30798808-33004014'"] | GRCh38
HCC1937_BREAST | 3.0 | [''] | 5.0469557821 | 4.9331080069 | 579058.0 | 1.0779019724 | ["'chr5:53632209-53829655'", "'chr5:53829763-54211375'"] | GRCh38
HCC1954_BREAST | 7.0 | ["'BIRC2'", "'BIRC3'", "'MMP12'", "'YAP1'"] | 8.8812501994 | 5.2854625516 | 2183303.0 | 0.7322913526 | ["'chr11:101927519-102815104'", "'chr11:102815143-104110861'"] | GRCh38
HCC1954_BREAST | 9.0 | ["'CDK12'", "'ERBB2'", "'MIEN1'"] | 151.5515663809 | 151.5515663809 | 497993.0 | 1.5111812837 | ["'chr17:39483527-39981520'"] | GRCh38
HCC38_BREAST | 10.0 | ["'CTBP2'"] | 8.5185770293 | 5.4337209555 | 3615961.0 | 1.2743631109 | ["'chr10:124580455-125508653'", "'chr10:125512532-126056618'", "'chr10:126057415-126996515'", "'chr10:131465889-132670466'"] | GRCh38
MDAMB157_BREAST | 6.0 | [''] | 10.0988677369 | 7.1492637419 | 667917.0 | 0.923353831 | ["'chr19:56381269-57049186'"] | GRCh38
MDAMB175VII_BREAST | 1.0 | [''] | 4.5288012526 | 4.5288012526 | 462155.0 | 0.9425361454 | ["'chr4:30631101-31093256'"] | GRCh38
MDAMB453_BREAST | 2.0 | [''] | 8.6056183679 | 8.6056183679 | 503877.0 | 1.0019339284 | ["'chr9:25361797-25865674'"] | GRCh38
